San Andreas (Carrizo) rev,San Andreas (Cholame) rev,San Andreas (Mojave S),San Andreas (Coachella) rev,San Jacinto (Anza) rev,Garlock (West)
16,16,16,6,35,73
17,17,17,7,36,74
0,0,0,8,37,75
1,1,1,9,38,76
2,2,2,10,39,77
3,3,3,11,40,78
4,4,4,12,41,79
5,5,5,13,42,80
6,6,6,14,43,81
7,7,7,15,44,82
8,8,8,16,45,83
9,9,9,17,46,0
10,10,10,18,0,1
11,11,11,19,1,2
12,12,12,20,2,3
13,13,13,21,3,4
14,14,14,22,4,5
15,15,15,23,5,6
16,16,16,24,6,7
0,0,17,25,7,8
1,1,18,26,8,9
2,2,0,27,9,0
3,3,1,28,10,1
4,4,2,29,11,2
5,5,3,30,12,3
6,6,4,31,13,4
7,7,5,32,14,5
8,8,6,0,15,6
9,9,7,1,16,7
10,10,8,2,17,8
11,11,9,3,18,9
12,12,10,4,19,10
13,13,11,5,20,11
14,14,12,6,21,12
15,15,13,7,22,13
0,0,14,8,23,14
1,1,15,9,24,15
2,2,16,10,25,16
3,3,17,11,26,17
4,4,18,12,27,18
5,5,19,13,28,19
6,6,20,14,29,20
7,7,21,15,30,21
8,8,22,16,31,22
9,9,0,17,32,23
10,10,1,18,33,24
11,11,2,19,34,25
12,12,3,20,35,26
13,13,4,21,36,27
14,14,5,22,37,28
0,15,6,23,38,29
1,16,7,24,39,30
2,17,8,25,40,31
3,18,9,26,41,32
4,0,10,27,42,33
5,1,11,28,43,34
6,2,12,29,44,35
7,3,13,30,45,36
8,4,14,31,0,37
9,5,15,32,1,38
10,6,16,33,2,0
11,7,17,34,3,1
12,8,18,0,4,2
0,9,19,1,5,3
1,10,20,2,6,4
2,11,21,3,7,5
3,12,0,4,8,6
4,13,1,5,9,7
5,14,2,6,10,8
6,15,3,7,11,9
7,16,4,8,12,10
8,17,5,9,13,11
9,18,6,10,14,12
10,19,7,11,15,13
0,0,8,12,16,14
1,1,9,13,17,15
2,2,10,14,18,16
3,3,11,15,19,17
4,4,12,16,20,18
5,5,13,17,21,19
6,6,14,18,22,20
7,7,15,19,23,21
8,8,16,20,24,22
9,9,17,21,25,23
10,10,18,22,26,24
11,0,0,23,27,25
12,1,1,24,28,26
13,2,2,25,29,27
14,3,3,26,30,28
15,4,4,27,31,29
0,0,5,28,32,30
1,1,6,29,33,31
2,2,7,30,34,32
3,3,8,0,35,33
4,4,9,1,36,34
5,5,10,2,37,35
6,6,11,3,38,36
7,7,12,4,39,37
8,8,13,5,40,38
9,9,14,6,41,39
10,10,15,7,42,40
11,11,16,8,43,41
12,12,17,9,44,42
13,13,18,10,0,43
14,14,19,11,1,44
0,0,0,12,2,45
1,1,1,13,3,46
2,2,2,14,4,47
3,3,3,15,5,48
4,4,4,16,6,49
5,5,5,17,7,50
6,6,6,18,8,51
7,7,7,19,9,52
8,8,8,20,10,53
9,9,9,21,11,54
10,10,10,22,12,55
11,11,11,23,13,56
12,12,12,24,14,57
13,13,13,25,15,58
14,14,14,26,16,59
15,15,15,27,17,60
0,0,16,28,18,61
1,1,17,29,19,62
2,2,18,30,20,63
3,3,19,31,21,64
4,4,20,0,22,65
5,5,0,1,23,66
6,6,1,2,24,67
7,7,2,3,25,68
8,8,3,4,26,69
9,9,4,5,27,70
10,10,5,6,28,71
11,11,6,7,29,72
12,12,7,8,30,73
13,13,8,9,31,0
14,14,9,10,32,1
15,15,10,11,33,2
16,16,11,12,34,3
0,0,12,13,35,4
1,1,13,14,36,5
2,2,14,15,37,6
3,3,15,16,38,7
4,4,16,17,39,8
5,5,17,18,40,9
6,6,0,19,41,0
7,7,1,20,42,1
8,8,2,21,43,2
9,9,3,22,0,3
10,10,4,23,1,4
11,11,5,24,2,5
12,12,6,25,3,6
13,13,7,26,4,7
14,14,8,27,5,8
15,15,9,28,6,9
16,16,10,29,7,10
17,17,11,30,8,11
0,0,12,31,9,12
1,1,13,32,10,13
2,2,14,33,11,14
3,3,15,34,12,15
4,4,16,0,13,16
5,5,17,1,14,17
6,6,18,2,15,18
7,7,19,3,16,19
8,8,20,4,17,20
9,9,21,5,18,21
10,10,0,6,19,22
11,11,1,7,20,23
12,12,2,8,21,24
13,13,3,9,22,25
14,14,4,10,23,26
15,15,5,11,24,27
16,16,6,12,25,28
17,17,7,13,26,29
18,18,8,14,27,30
0,0,9,15,28,31
1,1,10,16,29,32
2,2,11,17,30,33
3,3,12,18,31,34
4,4,13,19,32,35
5,5,14,20,33,36
6,6,15,21,34,37
7,7,16,22,35,38
8,8,17,23,36,39
9,9,18,24,37,40
10,10,19,25,38,41
11,11,20,26,39,42
12,12,21,27,40,43
13,13,22,28,41,44
0,14,0,29,42,45
1,15,1,30,43,46
2,16,2,31,44,47
3,17,3,32,0,48
4,18,4,33,1,49
5,19,5,34,2,50
6,20,6,0,3,0
0,0,7,1,4,1
1,1,8,2,5,2
2,2,9,3,6,3
3,3,10,4,7,4
4,4,11,5,8,5
5,5,12,6,9,6
6,6,13,7,10,7
7,7,14,8,11,8
8,8,15,9,12,9
9,9,16,10,13,10
10,10,17,11,14,11
11,11,18,12,15,12
0,12,0,13,16,13
1,13,1,14,17,14
2,14,2,15,18,15
3,15,3,16,19,16
4,16,4,17,20,17
5,17,5,18,21,18
6,18,6,19,22,19
7,19,7,20,23,20
8,0,8,21,24,21
9,1,9,22,25,22
10,2,10,23,26,23
11,3,11,24,27,24
12,4,12,25,28,25
13,5,13,26,29,26
14,6,14,27,30,27
15,7,15,0,31,28
16,8,16,1,32,29
0,9,0,2,33,30
1,10,1,3,34,31
2,11,2,4,35,32
3,12,3,5,36,33
4,13,4,6,37,34
5,14,5,7,38,35
6,15,6,8,39,36
7,16,7,9,40,37
8,17,8,10,41,38
9,18,9,11,42,39
10,0,10,12,43,40
11,1,11,13,44,41
12,2,12,14,0,42
13,3,13,15,1,43
14,4,14,16,2,44
15,5,15,17,3,45
16,6,16,18,4,46
17,7,17,19,5,47
0,8,18,20,6,48
1,9,19,21,7,49
2,10,20,22,8,50
3,11,0,23,9,51
4,12,1,24,10,0
5,13,2,25,11,1
6,14,3,26,12,2
7,15,4,27,13,3
8,16,5,28,14,4
9,17,6,29,15,5
10,18,7,30,16,6
11,19,8,0,17,7
0,0,9,1,18,8
1,1,10,2,19,9
2,2,11,3,20,10
3,3,12,4,21,11
4,4,13,5,22,12
0,5,14,6,23,13
1,6,15,7,24,14
2,7,16,8,25,15
3,8,17,9,26,16
4,9,18,10,27,17
5,10,19,11,28,18
6,11,20,12,29,19
7,12,0,13,30,20
8,13,1,14,31,21
9,14,2,15,32,22
10,15,3,16,33,23
11,16,4,17,34,24
0,0,5,18,35,25
1,1,6,19,36,26
2,2,7,20,37,27
3,3,8,21,38,28
4,4,9,22,39,29
5,5,10,23,40,30
6,6,11,24,0,31
7,7,0,25,1,32
8,8,1,26,2,33
9,9,2,27,3,34
10,10,3,28,4,35
11,11,0,29,5,36
12,12,1,30,6,37
13,13,2,0,7,38
14,14,3,1,8,39
15,15,4,2,9,40
16,16,5,3,10,41
0,0,6,4,11,42
1,1,7,5,12,43
2,2,8,6,13,44
3,3,9,7,14,45
4,4,10,8,15,46
5,5,11,9,16,47
6,6,0,10,17,48
7,7,1,11,18,49
8,8,2,12,19,50
9,9,3,13,20,51
10,10,4,14,21,52
11,11,5,15,22,53
12,12,6,16,23,54
13,13,7,17,24,55
14,14,8,18,25,56
15,15,9,19,26,57
16,16,10,20,27,58
17,17,11,21,28,59
18,18,12,22,29,60
0,0,13,23,30,61
1,1,14,24,31,62
2,2,15,25,32,63
3,3,16,26,33,64
4,4,17,27,34,65
5,5,0,28,35,66
6,6,1,29,36,67
7,7,2,30,37,68
8,8,3,31,38,69
9,9,4,0,39,70
10,10,5,1,40,71
11,11,6,2,41,72
12,12,7,3,42,73
13,13,8,4,43,74
14,14,9,5,44,75
0,0,10,6,0,76
1,1,11,7,1,77
2,2,12,8,2,78
3,3,13,9,3,79
4,4,14,10,4,80
5,5,15,11,5,81
6,6,16,12,6,82
7,7,17,13,7,83
8,8,18,14,8,84
9,9,19,15,9,85
10,10,20,16,10,86
11,11,0,17,11,87
12,12,1,18,12,88
13,13,2,19,13,89
14,14,3,20,14,90
15,15,4,21,15,91
16,16,5,22,16,92
17,17,6,23,17,93
18,18,7,24,18,94
19,19,8,25,19,95
20,20,9,26,20,96
0,0,10,27,21,97
1,1,11,28,22,98
2,2,12,29,23,99
3,3,13,0,24,100
4,4,14,1,25,101
5,5,15,2,26,102
6,6,16,3,27,103
7,7,17,4,28,104
8,8,18,5,29,105
9,9,19,6,30,106
10,10,20,7,31,107
11,11,21,8,32,108
12,12,0,9,33,0
13,13,1,10,34,1
14,14,2,11,35,2
15,15,3,12,36,3
16,16,4,13,37,4
17,17,5,14,38,5
0,0,6,15,39,6
1,1,7,16,40,7
2,2,8,17,41,8
3,3,9,18,42,9
4,4,10,19,43,10
5,5,11,20,44,11
6,6,12,21,0,12
7,7,13,22,1,13
8,8,14,23,2,14
9,9,15,24,3,15
10,10,16,25,4,16
11,11,17,26,5,17
12,12,18,27,6,18
13,13,0,28,7,19
14,14,1,29,8,20
15,15,2,30,9,21
16,16,3,0,10,22
17,17,4,1,11,23
0,0,5,2,12,24
1,1,6,3,13,25
2,2,7,4,14,26
3,3,8,5,15,27
4,4,9,6,16,28
5,5,10,7,17,0
6,6,11,8,18,1
7,7,12,9,19,2
8,8,13,10,20,3
9,9,14,11,21,4
10,10,15,12,22,5
11,11,16,13,23,6
12,12,17,14,24,7
13,13,18,15,25,8
0,0,0,16,26,9
1,1,1,17,27,10
2,2,2,18,28,11
3,3,3,19,29,12
4,4,4,20,30,13
5,5,5,21,0,14
6,6,6,22,1,15
7,7,7,23,2,16
8,8,8,24,3,17
9,9,9,25,4,18
10,10,10,26,5,19
11,11,11,27,6,20
12,12,12,0,7,21
13,13,13,1,8,22
14,14,14,2,9,23
15,15,15,3,10,24
16,16,16,4,11,25
17,17,17,5,12,26
18,18,18,6,13,27
19,19,19,7,14,28
20,20,20,8,15,29
0,0,0,9,16,30
1,1,1,10,17,31
2,2,2,11,18,32
3,3,3,12,19,33
4,4,4,13,20,34
5,5,5,14,21,35
6,6,6,15,22,36
7,7,7,0,23,37
8,8,8,1,24,38
9,9,9,2,25,39
10,10,10,3,26,40
11,11,11,4,27,41
12,12,12,5,28,42
13,13,13,6,29,43
0,0,14,7,30,44
1,1,15,8,31,45
2,2,16,9,32,46
3,3,17,10,33,47
4,4,18,11,34,48
5,5,0,12,35,49
6,6,1,13,36,50
7,7,2,14,37,51
8,8,3,15,38,52
9,9,4,16,39,53
10,10,5,17,40,54
11,11,6,0,41,55
12,12,7,1,42,56
13,13,8,2,43,57
14,14,9,3,44,58
15,15,10,4,45,59
0,0,11,5,46,60
1,1,12,6,0,61
2,2,13,7,1,62
3,3,14,8,2,63
4,4,15,9,3,64
5,5,16,10,4,65
6,6,17,11,5,66
7,7,18,12,6,67
8,8,0,13,7,68
9,9,1,14,8,69
10,10,2,15,9,70
11,11,3,16,10,71
12,12,4,17,11,72
13,13,5,18,12,73
14,14,6,19,13,74
15,15,7,20,14,75
0,0,8,21,15,76
1,1,9,22,16,77
2,2,10,23,17,78
3,3,11,24,18,79
4,4,12,25,19,80
5,5,13,26,20,0
6,6,14,0,21,1
7,7,15,1,22,2
8,8,16,2,23,3
9,9,17,3,24,4
10,10,18,4,25,5
0,11,0,5,26,6
1,12,1,6,27,7
2,13,2,7,28,8
0,0,3,8,29,9
1,1,4,9,30,10
2,2,5,10,31,11
3,3,6,11,32,12
4,4,7,12,33,13
5,5,8,13,34,14
6,6,9,14,35,15
7,7,10,15,36,16
8,8,11,16,37,17
9,9,12,17,38,18
10,10,13,18,39,19
11,11,14,19,40,20
12,12,15,20,41,21
13,13,16,21,42,22
14,14,17,22,43,23
15,15,18,23,0,24
0,16,0,24,1,25
1,17,1,25,2,26
2,18,2,26,3,27
3,0,3,27,4,28
4,1,4,28,5,29
5,2,5,29,6,30
6,3,6,0,7,31
7,4,7,1,8,32
8,5,8,2,9,33
9,6,9,3,10,34
10,7,10,4,11,35
11,8,11,5,12,36
12,9,12,6,13,37
13,10,13,7,14,38
0,11,14,8,15,39
1,12,15,9,16,40
2,13,16,10,17,41
3,14,17,11,18,42
4,15,18,12,19,43
5,16,19,13,20,44
6,17,0,14,21,45
7,18,1,15,22,46
8,0,2,16,23,47
9,1,3,17,24,48
10,2,4,18,25,49
11,3,5,19,26,50
12,4,6,20,27,51
13,5,7,21,28,52
14,6,8,22,29,53
0,7,9,23,30,54
1,8,10,24,31,55
2,9,11,25,32,56
3,10,12,26,33,57
4,11,13,0,34,58
5,12,14,1,35,59
6,13,15,2,36,60
7,14,16,3,37,61
8,15,17,4,38,0
9,16,18,5,39,1
10,17,0,6,40,2
11,18,1,7,41,3
12,19,2,8,42,4
13,20,3,9,43,5
0,0,4,10,0,6
1,1,5,11,1,7
2,2,6,12,2,8
3,3,7,13,3,9
4,4,8,14,4,10
5,5,9,15,5,11
6,6,10,16,6,12
7,7,11,17,7,13
8,8,12,18,8,14
9,9,13,19,9,15
10,10,14,20,10,16
11,11,15,21,11,17
12,12,16,22,12,18
13,13,17,23,13,19
14,14,18,24,14,20
15,15,0,25,15,21
16,16,1,26,16,22
17,17,2,27,17,23
0,0,3,28,18,24
1,1,4,29,19,25
2,2,5,30,20,26
3,3,6,31,21,27
4,4,7,0,22,0
5,5,8,1,23,1
6,6,9,2,24,2
7,7,10,3,25,3
8,8,11,4,26,4
9,9,12,5,27,5
10,10,13,6,28,6
11,11,14,7,29,7
12,12,15,8,30,8
13,13,16,9,31,9
14,14,17,10,32,10
15,15,18,11,33,11
16,16,19,12,34,12
17,17,20,13,35,13
0,0,21,14,36,14
1,1,0,15,37,15
2,2,1,16,38,16
3,3,2,17,39,17
4,4,3,18,40,18
5,5,4,19,41,19
6,6,5,20,42,20
7,7,6,21,0,21
8,8,7,22,1,22
9,9,8,23,2,23
10,10,9,24,3,24
11,11,10,25,4,25
12,12,11,26,5,26
13,13,12,27,6,0
14,14,13,28,7,1
15,15,14,29,8,2
16,16,15,30,9,3
17,17,16,0,10,4
0,0,0,1,11,5
1,1,1,2,12,6
2,2,2,3,13,7
3,3,3,4,14,8
4,4,4,5,15,9
5,5,5,6,16,10
6,6,6,7,17,11
7,7,7,8,18,12
8,8,8,9,19,13
9,9,9,10,20,14
10,10,10,11,21,15
11,11,11,12,22,16
12,12,12,13,23,17
13,13,13,14,24,18
14,14,14,15,25,19
15,15,15,16,26,20
16,16,16,0,27,21
17,17,17,1,28,22
0,0,0,2,29,23
1,1,1,3,30,24
2,2,2,4,31,25
3,3,3,5,32,26
4,4,4,6,33,27
5,5,5,7,34,28
6,6,6,8,35,29
7,7,7,9,36,30
8,8,8,10,37,31
9,9,9,11,38,32
10,10,10,12,39,33
11,11,11,13,40,34
12,12,12,14,41,35
13,13,13,0,42,36
14,14,14,1,43,37
15,15,15,2,0,38
16,16,16,3,1,39
17,17,17,4,2,40
0,0,18,5,3,41
1,1,19,6,4,42
2,2,20,7,5,43
3,3,0,8,6,44
4,4,1,9,7,45
5,5,2,10,8,46
6,6,3,11,9,47
7,7,4,12,10,48
8,8,5,13,11,49
9,9,6,14,12,50
10,10,7,15,13,51
11,11,8,16,14,52
12,12,9,17,15,53
13,13,10,18,16,54
14,14,11,19,17,0
15,15,12,20,18,1
0,0,13,21,19,2
1,1,14,22,20,3
2,2,15,23,21,4
3,3,16,24,22,5
4,4,17,25,23,6
5,5,18,26,24,7
6,6,19,27,25,8
7,7,0,28,26,9
8,8,1,29,27,10
9,9,2,30,28,11
10,10,3,31,29,12
11,11,4,32,30,13
12,12,5,33,31,14
13,13,6,34,32,15
14,14,7,0,33,16
15,15,8,1,34,17
16,16,9,2,35,18
17,17,10,3,36,19
18,18,11,4,37,20
0,0,0,5,38,21
1,1,1,6,39,22
2,2,2,7,40,23
3,3,3,8,41,24
4,4,4,9,42,25
5,5,5,10,43,26
6,6,6,11,0,27
7,7,0,12,1,28
8,8,1,13,2,29
9,9,2,14,3,30
10,10,3,15,4,31
11,11,4,16,5,32
12,12,5,17,6,33
13,13,6,18,7,34
14,14,7,19,8,35
15,15,8,20,9,36
16,16,9,21,10,37
0,0,0,22,11,38
1,1,1,23,12,39
2,2,2,24,13,40
3,3,3,25,14,41
4,4,4,26,15,42
5,5,5,27,16,43
6,6,0,28,17,44
7,7,1,29,18,45
8,8,2,30,19,46
9,9,3,31,20,47
10,10,4,32,21,48
11,11,5,33,22,49
12,12,6,0,23,50
13,13,7,1,24,51
14,14,8,2,25,52
15,15,9,3,26,53
16,16,10,4,27,54
17,17,11,5,28,55
0,0,0,6,29,56
1,1,1,7,30,57
2,2,2,8,31,58
3,3,3,9,32,59
4,4,4,10,33,60
5,5,5,11,34,61
6,6,6,12,35,62
7,7,7,13,36,63
8,8,8,14,37,64
9,9,9,15,38,65
10,10,10,16,39,66
11,11,11,17,40,67
12,12,12,18,41,68
13,13,13,19,0,69
14,14,14,20,1,70
15,15,15,21,2,71
16,16,16,22,3,72
17,17,17,23,4,73
0,0,0,24,5,74
1,1,1,25,6,75
2,2,2,26,7,76
3,3,3,27,8,77
4,4,4,28,9,78
5,5,5,29,10,79
6,6,6,0,11,80
7,7,7,1,12,81
8,8,8,2,13,82
9,9,9,3,14,83
10,10,10,4,15,84
11,11,11,5,16,85
12,12,12,6,17,86
13,13,13,7,18,87
14,14,14,8,19,88
15,15,15,9,20,89
16,16,16,10,21,90
17,17,17,11,22,91
0,0,0,12,23,92
1,1,1,13,24,93
2,2,2,14,25,94
3,3,3,15,26,95
4,4,4,16,27,96
5,5,5,17,28,97
6,6,6,18,29,98
7,7,7,19,30,99
8,8,8,20,31,0
9,9,9,21,32,1
10,10,10,22,33,2
11,11,11,23,34,3
12,12,12,24,35,4
13,13,13,25,36,5
14,14,14,26,37,6
15,15,15,27,38,7
16,16,16,28,39,8
17,17,17,29,40,9
18,18,18,0,41,10
0,0,0,1,42,11
1,1,1,2,43,12
2,2,2,3,44,13
3,3,3,4,45,14
4,4,4,5,46,15
5,5,5,6,0,16
6,6,6,7,1,17
7,7,7,8,2,18
8,8,8,9,3,19
9,9,9,10,4,20
10,10,10,11,5,21
11,11,11,12,6,22
12,12,12,13,7,23
13,13,13,14,8,24
14,14,14,15,9,25
15,15,15,16,10,26
16,16,16,17,11,27
17,17,17,18,12,28
0,0,0,19,13,29
1,1,1,20,14,30
2,2,2,21,15,31
3,3,3,22,16,32
4,4,4,23,17,33
5,5,5,24,18,34
6,6,6,25,19,35
7,7,7,26,20,36
8,8,8,27,21,37
9,9,9,28,22,38
10,10,10,29,23,39
11,11,11,30,24,40
12,12,12,31,25,41
13,13,13,32,26,42
14,14,14,33,27,43
15,15,15,34,28,44
16,16,16,0,29,45
0,0,0,1,30,46
1,1,1,2,31,47
2,2,2,3,32,48
3,3,3,4,33,49
4,4,4,5,34,50
5,5,5,6,35,51
6,6,6,7,36,52
7,7,7,8,37,53
8,8,8,9,38,54
9,9,9,10,39,55
10,10,10,11,40,56
11,11,11,12,41,57
12,12,12,13,0,58
13,13,13,14,1,59
14,14,14,15,2,60
15,15,15,16,3,0
16,16,16,17,4,1
17,17,17,18,5,2
0,0,18,19,6,3
1,1,19,20,7,4
2,2,20,21,8,5
3,3,0,22,9,6
4,4,1,23,10,7
5,5,2,24,11,8
6,6,3,25,12,9
7,7,4,26,13,10
8,8,5,27,14,11
9,9,6,28,15,12
10,10,7,29,16,13
11,11,8,30,17,14
12,12,9,31,18,15
13,13,10,32,19,16
14,14,11,0,20,17
15,15,12,1,21,18
16,16,13,2,22,19
0,0,0,3,23,20
1,1,1,4,24,21
2,2,2,5,25,22
3,3,3,6,26,23
4,4,4,7,27,24
5,5,5,8,28,25
6,6,6,9,29,26
7,7,7,10,30,27
8,8,8,11,31,28
9,9,9,12,32,29
10,10,10,13,33,30
11,11,11,14,34,31
12,12,12,15,35,32
13,13,13,16,36,33
14,14,14,17,37,34
15,15,15,18,38,35
16,16,16,19,39,36
0,0,0,20,40,0
1,1,1,21,41,1
2,2,2,22,42,2
3,3,3,23,43,3
4,4,4,24,0,4
5,5,5,25,1,5
6,6,6,26,2,6
7,7,7,27,3,7
8,8,8,28,4,8
9,9,9,29,5,9
10,10,10,30,6,10
11,11,11,31,7,11
12,12,12,32,8,12
13,13,13,33,9,13
14,14,14,0,10,14
15,15,15,1,11,0
16,16,16,2,12,1
17,17,17,3,13,2
18,18,18,4,14,3
0,0,0,5,15,4
1,1,1,6,16,5
2,2,2,7,17,6
3,3,3,8,18,7
4,4,4,9,19,8
5,5,5,10,20,9
6,6,6,11,21,10
7,7,7,12,22,11
8,8,8,13,23,12
9,9,9,14,24,13
10,10,10,15,25,14
11,11,11,16,26,15
12,12,12,17,27,16
13,13,13,18,28,17
14,14,14,19,29,18
15,15,15,20,30,19
16,16,16,21,31,20
17,17,17,22,32,21
18,18,18,23,33,22
19,19,19,24,34,23
0,0,0,25,35,24
1,1,1,26,36,25
2,2,2,27,37,26
3,3,3,28,38,27
4,4,4,29,39,28
5,5,5,30,40,29
6,6,6,31,41,30
7,7,7,32,42,31
8,8,8,33,0,32
9,9,9,0,1,33
10,10,10,1,2,34
11,11,11,2,3,35
12,12,12,3,4,36
13,13,13,4,5,37
14,14,14,5,6,38
15,15,15,6,7,39
16,16,16,7,8,40
17,17,17,8,9,41
18,18,18,9,10,42
0,0,0,10,11,43
1,1,1,11,12,44
2,2,2,12,13,45
3,3,3,13,14,46
4,4,4,14,15,47
5,5,5,15,16,48
6,6,6,16,17,49
7,7,7,17,18,50
8,8,8,18,19,51
9,9,9,19,20,52
10,10,10,20,21,53
11,11,11,21,22,54
12,12,12,22,23,55
13,13,13,23,24,56
14,14,14,24,25,57
15,15,15,25,26,0
16,16,16,26,27,1
17,17,17,27,28,2
18,18,18,28,29,3
19,19,19,29,30,4
0,0,0,0,31,5
1,1,1,1,32,6
2,2,2,2,33,7
3,3,3,3,34,8
4,4,4,4,35,9
5,5,5,5,36,10
6,6,6,6,37,11
7,7,7,7,38,12
8,8,8,8,39,13
9,9,9,9,40,14
10,10,10,10,41,15
11,11,11,11,42,16
12,12,12,12,43,17
13,13,13,13,44,18
14,14,14,14,45,19
15,15,15,15,46,20
16,16,16,16,0,21
17,17,17,17,1,22
18,18,18,18,2,23
19,19,19,19,3,24
0,0,0,20,4,25
1,1,1,21,5,26
2,2,2,22,6,27
3,3,3,23,7,28
4,4,4,24,8,29
5,5,5,25,9,30
6,6,6,26,10,31
7,7,7,27,11,32
8,8,8,28,12,33
9,9,9,29,13,34
10,10,10,30,14,35
11,11,11,0,15,36
12,12,12,1,16,37
13,13,13,2,17,38
14,14,14,3,18,0
15,15,15,4,19,1
16,16,16,5,20,2
17,17,17,6,21,3
0,0,0,7,22,4
1,1,1,8,23,5
2,2,2,9,24,6
3,3,3,10,25,7
4,4,4,11,26,8
5,5,5,12,27,9
6,6,6,13,28,10
7,7,7,14,29,11
8,8,8,15,30,12
9,9,9,16,31,13
10,10,10,17,32,14
11,11,11,18,33,15
12,12,12,19,34,16
13,13,13,20,35,17
14,14,14,21,36,18
15,15,15,22,37,19
0,0,16,23,38,20
1,1,17,24,39,21
2,2,18,25,40,22
3,3,19,26,41,23
4,4,20,27,42,24
0,5,0,28,0,25
1,6,1,29,1,26
2,7,2,30,2,27
3,8,3,31,3,28
4,9,4,32,4,29
5,10,5,33,5,30
6,11,6,34,6,31
7,0,7,35,7,32
8,1,8,0,8,33
9,2,9,1,9,34
0,3,10,2,10,35
1,4,11,3,11,36
2,5,12,4,12,37
3,6,13,5,13,0
4,7,14,6,14,1
5,8,15,7,15,2
6,9,16,8,16,3
7,10,17,9,0,4
8,11,18,10,1,5
0,12,0,11,2,6
1,13,1,12,3,7
2,14,2,13,4,8
3,15,3,14,5,9
4,16,4,15,6,10
5,17,5,16,7,11
6,18,6,17,8,12
7,19,7,18,9,13
0,0,8,19,10,14
1,1,9,20,11,15
2,2,10,21,12,16
3,3,11,22,13,17
4,4,12,23,14,18
5,5,13,24,15,19
6,6,14,25,16,20
7,7,15,26,17,21
8,8,16,27,18,22
9,9,17,0,19,23
10,10,18,1,20,24
11,11,19,2,21,25
0,0,0,3,22,26
1,1,1,4,23,27
2,2,2,5,24,28
3,3,3,6,25,29
4,4,4,7,0,30
5,5,5,8,1,31
6,6,6,9,2,32
7,7,7,10,3,33
8,8,8,11,4,34
9,9,9,12,5,35
10,0,10,13,6,36
11,1,11,14,7,37
12,2,12,15,8,38
13,3,13,16,9,39
14,4,14,17,10,40
15,5,15,18,11,41
16,6,16,19,12,42
0,7,17,20,13,43
1,8,18,21,14,44
2,9,19,22,15,45
3,10,20,23,16,46
4,11,21,24,17,47
5,12,0,25,18,0
6,13,1,26,19,1
7,14,2,27,20,2
8,15,3,28,21,3
9,16,4,29,22,4
10,17,5,30,23,5
11,18,6,31,24,6
0,0,7,0,25,7
1,1,8,1,26,8
0,2,9,2,27,9
1,3,10,3,28,10
2,4,11,4,29,11
3,5,12,5,30,12
4,6,13,6,31,13
5,7,14,7,0,14
6,8,15,8,1,15
7,9,16,9,2,16
8,10,17,10,3,17
9,11,18,11,4,18
10,12,19,12,5,19
11,13,0,13,6,20
0,0,1,14,7,21
0,1,2,15,8,22
1,2,3,16,9,23
2,3,4,17,10,24
3,4,5,18,11,25
4,5,6,19,12,26
5,6,7,20,13,27
6,7,8,21,14,28
7,8,9,22,15,29
8,9,10,23,16,30
9,10,11,24,17,31
10,11,12,25,18,32
11,12,13,26,19,33
12,13,14,27,20,34
13,14,15,28,21,35
14,15,16,0,22,36
15,16,17,1,23,37
0,0,0,2,24,38
1,1,1,3,25,39
2,2,2,4,26,40
3,3,3,5,27,41
4,4,4,6,28,42
5,5,5,7,29,43
6,6,6,8,30,44
7,7,7,9,31,45
8,8,8,10,32,46
9,9,9,11,33,47
10,10,10,12,34,48
11,11,11,13,35,49
12,12,12,14,36,50
13,13,13,15,37,51
14,14,14,16,0,52
15,15,15,17,1,53
16,16,16,18,2,54
0,0,17,19,3,55
1,1,18,20,4,56
2,2,19,21,5,57
3,3,20,22,6,58
4,4,21,23,7,59
5,5,0,24,8,60
6,6,1,25,9,61
7,7,2,26,10,62
8,8,3,27,11,63
9,9,4,28,12,64
10,10,5,29,13,65
11,11,6,30,14,66
12,12,7,0,15,67
13,13,8,1,16,68
14,14,9,2,17,69
15,15,10,3,18,70
16,16,11,4,19,71
0,0,12,5,20,72
1,1,13,6,21,73
2,2,14,7,22,74
3,3,15,8,23,75
4,4,16,9,24,76
5,5,17,10,25,77
6,6,18,11,26,0
7,7,19,12,27,1
8,8,20,13,28,2
9,9,21,14,29,3
10,10,22,15,30,4
11,11,0,16,31,5
12,12,1,17,32,6
13,13,2,18,33,7
14,14,3,19,0,8
15,15,4,20,1,9
16,16,5,21,2,10
0,0,6,22,3,11
1,1,7,23,4,12
2,2,8,24,5,13
3,3,9,25,6,14
4,4,10,26,7,15
5,5,11,27,8,16
6,6,12,28,9,17
7,7,13,29,10,18
8,8,14,30,11,19
9,9,15,31,12,20
10,10,16,32,13,21
11,11,17,0,14,22
12,12,18,1,15,23
13,13,19,2,16,24
0,0,0,3,17,25
1,1,1,4,18,26
2,2,2,5,19,27
3,3,3,6,20,28
4,4,4,7,21,29
5,5,5,8,22,30
6,6,6,9,23,31
7,7,7,10,24,32
8,8,8,11,25,33
9,9,9,12,26,34
10,10,10,13,27,35
11,11,11,14,28,36
12,12,12,15,29,37
13,13,13,16,30,38
14,14,14,17,31,39
15,15,15,18,32,40
16,16,16,19,33,41
17,17,17,20,34,42
18,18,18,21,35,0
19,19,19,22,36,1
0,0,0,23,37,2
1,1,1,24,38,3
2,2,2,25,39,4
