,San Andreas (Carrizo) rev,San Andreas (Cholame) rev,San Andreas (Mojave S),San Andreas (Coachella) rev,San Jacinto (Anza) rev,Garlock (West),San Andreas (Carrizo) rev output,San Andreas (Cholame) rev output,San Andreas (Mojave S) output,San Andreas (Coachella) rev output,San Jacinto (Anza) rev output,Garlock (West) output
358,0,0,1,1,0,0,0,0,0,0,0,0
359,2,1,1,0,0,0,0,0,0,0,0,0
360,1,1,0,1,0,0,0,0,0,0,0,0
361,0,0,0,0,0,0,0,0,1,0,1,0
362,1,1,0,0,1,0,0,0,0,0,0,0
363,1,1,1,1,0,0,0,0,0,0,0,1
364,0,0,1,0,0,0,0,0,0,0,0,0
365,1,1,0,1,1,0,0,0,0,0,0,0
366,0,0,0,0,0,0,0,0,0,0,0,0
367,0,0,1,0,0,0,0,0,0,0,0,0
368,0,0,0,1,0,0,1,1,1,0,0,0
369,0,0,1,0,0,1,0,0,0,0,0,0
370,0,0,1,1,0,1,0,0,0,0,0,0
371,0,0,0,0,0,0,0,0,1,0,0,0
372,0,0,0,0,1,0,1,1,1,0,0,0
373,1,1,1,1,0,0,0,0,0,0,0,0
374,1,1,0,0,1,0,0,0,1,0,0,0
375,0,0,1,0,0,0,0,1,0,0,0,0
376,1,0,1,0,0,0,0,0,0,0,0,0
377,0,0,1,0,0,0,1,1,0,0,1,0
378,0,0,0,1,0,1,1,1,0,0,0,0
379,1,0,0,0,0,1,0,0,1,0,0,0
380,1,1,0,0,0,0,0,0,0,0,0,0
381,1,1,0,0,0,0,1,0,1,0,0,0
382,0,0,1,0,1,1,1,1,0,0,0,0
383,1,0,1,0,1,0,0,0,0,0,0,0
384,0,1,1,1,1,1,0,0,0,0,0,0
385,1,1,0,0,0,0,0,0,0,0,0,0
386,1,1,0,0,1,0,0,0,0,0,0,0
387,0,0,0,0,1,0,0,0,0,0,0,1
388,0,1,1,0,0,0,0,0,0,1,0,0
389,1,1,0,0,0,1,0,0,0,0,1,0
390,1,1,1,0,0,0,0,0,0,0,0,0
391,1,1,0,1,0,0,0,0,0,0,1,0
392,0,1,0,0,0,0,0,0,0,0,0,0
393,1,1,1,0,0,1,0,0,0,0,0,0
394,0,0,0,1,1,0,0,0,0,0,0,0
395,1,1,1,0,0,1,0,0,0,0,0,0
396,1,1,1,0,0,0,0,0,0,0,0,0
397,0,0,0,0,1,0,0,0,0,0,0,0
398,1,1,1,0,0,1,0,0,0,0,1,0
399,1,1,1,0,0,1,0,0,0,0,0,0
400,0,0,0,1,0,0,0,0,1,0,0,0
401,1,1,0,0,0,0,0,0,0,0,0,0
402,1,1,0,0,0,0,0,0,0,0,0,0
403,1,1,1,1,0,0,0,0,0,0,0,0
404,0,0,0,0,0,1,0,0,0,0,0,0
405,0,0,0,0,1,0,1,1,0,0,0,0
406,1,1,0,0,0,0,0,0,0,0,0,0
407,1,1,0,0,0,0,0,0,1,0,0,0
408,0,0,1,0,0,0,0,0,0,0,0,0
409,0,0,0,1,0,0,0,0,0,0,0,0
410,1,1,1,0,0,0,0,0,0,0,0,0
411,0,0,1,0,0,0,0,0,0,0,0,0
412,1,1,1,0,0,1,0,0,0,1,0,0
413,1,1,1,0,0,0,0,0,0,0,0,1
414,0,0,1,0,0,0,1,1,0,0,0,0
415,1,1,0,1,1,0,0,0,0,0,0,0
416,0,0,0,0,1,0,1,1,1,0,0,0
417,1,1,1,1,0,0,0,0,0,0,0,0
418,1,1,1,0,0,0,0,0,0,0,0,0
419,1,1,1,1,0,0,0,0,0,0,0,0
420,1,0,0,0,0,0,0,0,0,1,0,0
421,1,1,1,1,0,0,0,0,0,0,0,0
422,1,1,0,0,0,0,0,0,0,0,0,0
423,1,1,1,0,0,0,0,0,0,0,0,0
424,0,0,1,0,1,0,0,0,0,0,0,0
425,1,0,1,0,1,0,1,1,0,0,0,0
426,1,1,0,0,0,0,0,0,1,0,0,0
427,1,1,0,0,0,1,0,0,0,0,1,0
428,1,1,1,0,0,1,0,0,0,0,0,0
429,1,1,0,0,0,0,0,0,0,0,0,0
430,0,0,0,0,1,0,0,0,0,0,0,0
431,0,0,1,1,0,0,0,0,0,0,0,1
432,1,1,1,0,0,0,0,0,0,0,0,0
433,1,1,1,1,0,0,0,0,0,0,0,0
434,0,0,0,0,0,1,0,0,0,0,0,0
435,1,1,0,0,0,0,0,0,1,0,0,0
