,San Andreas (Carrizo) rev,San Andreas (Cholame) rev,San Andreas (Mojave S),San Andreas (Coachella) rev,San Jacinto (Anza) rev,Garlock (West),San Andreas (Carrizo) rev output,San Andreas (Cholame) rev output,San Andreas (Mojave S) output,San Andreas (Coachella) rev output,San Jacinto (Anza) rev output,Garlock (West) output
388,0,0,0,0,0,0,0,0,0,1,0,0
389,1,1,1,0,0,1,0,0,0,0,0,0
390,0,0,0,0,0,0,1,1,1,1,0,0
391,0,0,0,0,1,0,0,0,0,0,0,0
392,1,1,1,0,0,0,0,0,0,0,0,0
393,1,1,1,1,0,0,0,0,0,0,0,0
394,0,0,0,0,1,0,0,0,0,0,0,0
395,1,1,1,0,0,1,0,0,0,1,0,0
396,1,1,0,0,0,0,0,0,1,0,0,0
397,0,0,0,0,0,0,1,1,0,0,0,0
398,0,0,1,1,1,0,0,0,0,0,0,0
399,1,1,0,0,0,1,0,0,0,0,0,0
400,1,1,1,1,0,0,0,0,0,0,0,0
401,0,0,0,0,1,0,1,1,1,0,0,0
402,0,0,0,1,0,0,0,0,0,0,0,0
403,1,1,1,0,0,0,0,0,0,0,0,1
404,1,1,0,0,1,0,0,0,0,0,0,0
405,0,0,1,1,0,0,0,0,0,0,0,0
406,1,1,2,0,0,1,0,0,0,0,0,0
407,1,1,1,1,0,0,0,0,0,0,0,0
408,0,0,0,0,1,1,0,0,1,0,0,0
409,1,1,0,0,0,0,0,0,0,0,0,0
410,1,1,1,1,0,0,0,0,0,0,0,0
411,0,0,1,0,1,0,1,1,0,0,0,0
412,0,0,0,1,0,0,0,0,0,0,0,0
413,1,1,1,0,0,1,0,0,0,0,0,0
414,1,1,1,1,1,0,0,0,0,0,0,0
415,0,0,0,0,0,0,0,0,0,0,0,0
416,1,1,1,0,0,0,0,0,0,0,0,0
417,1,1,1,1,0,1,0,0,0,0,1,0
418,0,0,0,0,0,0,0,0,0,0,0,0
419,1,1,1,1,0,0,0,0,0,0,0,0
420,1,1,1,0,0,0,0,0,0,0,1,0
421,0,0,0,0,0,0,0,0,0,1,0,0
422,1,1,1,0,0,1,0,0,0,0,0,0
423,1,1,1,0,0,0,0,0,0,0,0,0
424,1,1,0,1,1,0,0,0,0,0,0,0
425,0,0,1,0,0,0,0,0,0,0,0,0
426,1,1,0,0,0,0,0,0,1,1,0,0
427,1,1,0,0,1,0,0,0,0,0,0,0
428,0,0,1,0,0,0,1,1,0,0,0,0
429,0,0,1,1,0,0,0,0,0,0,0,0
430,2,1,0,0,1,1,0,0,1,0,0,0
431,1,0,0,1,0,0,0,0,0,0,0,0
