,s0,s1,s2,s3,s4,s5,q0,q1,q2,q3,q4,q5
311,1,1,0,1,0,0,0,0,0,0,0,0
312,1,1,0,1,0,0,0,0,1,0,0,0
313,1,1,1,1,0,0,0,0,0,0,0,0
314,1,1,1,1,0,0,0,0,0,0,0,0
315,1,1,1,1,0,0,0,0,0,0,0,0
316,1,1,1,1,0,0,0,0,0,0,0,0
317,1,1,1,1,0,0,0,0,0,0,0,0
318,0,0,1,1,0,0,0,0,0,0,0,0
319,0,0,1,1,0,0,0,0,0,0,0,0
320,0,0,1,1,0,0,0,0,0,0,0,0
321,0,0,1,0,0,0,0,0,0,0,0,0
322,0,0,1,0,0,0,0,0,0,0,0,0
323,0,0,0,0,0,0,0,0,0,0,0,0
324,0,0,0,0,0,0,0,0,0,0,0,0
325,0,0,0,0,0,0,0,0,0,0,1,0
326,0,0,0,0,1,0,1,1,0,0,0,0
327,1,1,0,0,1,0,0,0,0,0,0,0
328,1,1,0,0,1,0,0,0,0,0,0,0
329,1,1,0,0,1,0,0,0,0,0,0,1
330,1,1,0,0,1,1,0,0,1,0,0,0
331,1,1,1,0,1,1,0,0,0,0,0,0
332,1,1,1,0,1,1,0,0,0,0,0,0
333,1,1,1,0,1,1,0,0,0,0,0,0
334,1,1,1,0,1,1,0,0,0,0,0,0
335,1,1,1,0,1,1,0,0,0,0,0,0
336,1,1,1,0,0,1,0,0,0,0,0,0
337,0,0,1,0,0,1,0,0,0,0,0,0
338,0,0,1,0,0,1,0,0,0,0,0,0
339,0,0,1,0,0,1,0,0,0,0,0,0
340,0,0,1,0,0,0,0,0,0,0,0,0
341,0,0,0,0,0,0,0,0,0,0,0,0
342,0,0,0,0,0,0,0,0,0,0,0,0
343,0,0,0,0,0,0,0,0,0,0,0,0
344,0,0,0,0,0,0,1,1,0,0,0,0
345,1,1,0,0,0,0,0,0,0,1,0,0
346,1,1,0,1,0,0,0,0,0,0,0,0
347,1,1,0,1,0,0,0,0,0,0,0,0
348,1,1,0,1,0,0,0,0,1,0,0,0
349,1,1,1,1,0,0,0,0,0,0,0,0
350,1,1,1,1,0,0,0,0,0,0,0,0
351,1,1,1,1,0,0,0,0,0,0,0,0
352,1,1,1,1,0,0,0,0,0,0,0,0
353,1,1,1,1,0,0,0,0,0,0,0,0
354,1,1,1,1,0,0,0,0,0,0,0,0
355,0,0,1,1,0,0,0,0,0,0,0,0
356,0,0,1,0,0,0,0,0,0,0,0,0
357,0,0,1,0,0,0,0,0,0,0,0,0
358,0,0,1,0,0,0,0,0,0,0,0,0
359,0,0,0,0,0,0,0,0,0,0,0,0
360,0,0,0,0,0,0,1,1,0,0,0,0
361,1,1,0,0,0,0,0,0,0,0,0,0
362,1,1,0,0,0,0,0,0,0,0,0,0
363,1,1,0,0,0,0,0,0,0,0,0,0
364,1,1,0,0,0,0,0,0,0,0,0,0
365,1,1,0,0,0,0,0,0,0,0,0,0
366,1,1,0,0,0,0,0,0,0,0,0,0
367,1,1,0,0,0,0,0,0,1,0,0,0
368,1,1,1,0,0,0,0,0,0,0,0,0
369,1,1,1,0,0,0,0,0,0,0,0,0
370,1,1,1,0,0,0,0,0,0,0,1,0
371,0,0,1,0,1,0,0,0,0,0,0,0
372,0,0,1,0,1,0,0,0,0,0,0,0
373,0,0,1,0,1,0,0,0,0,0,0,0
374,0,0,1,0,1,0,0,0,0,0,0,0
375,0,0,1,0,1,0,0,0,0,0,0,0
376,0,0,1,0,1,0,0,0,0,1,0,0
377,0,0,1,1,1,0,0,0,0,0,0,0
378,0,0,0,1,1,0,1,1,0,0,0,0
379,1,1,0,1,1,0,0,0,0,0,0,0
380,1,1,0,1,1,0,0,0,0,0,0,0
381,1,1,0,1,0,0,0,0,0,0,0,0
382,1,1,0,1,0,0,0,0,0,0,0,0
383,1,1,0,1,0,0,0,0,0,0,0,0
384,1,1,0,1,0,0,0,0,0,0,0,1
385,1,1,0,1,0,1,0,0,0,0,0,0
386,1,1,0,1,0,1,0,0,1,0,0,0
387,1,1,1,0,0,1,0,0,0,0,0,0
388,1,1,1,0,0,1,0,0,0,0,0,0
389,0,0,1,0,0,1,0,0,0,0,0,0
390,0,0,1,0,0,1,0,0,0,0,1,0
391,0,0,1,0,1,1,0,0,0,0,0,0
392,0,0,1,0,1,1,0,0,0,0,0,0
393,0,0,1,0,1,1,0,0,0,0,0,0
394,0,0,1,0,1,1,0,0,0,0,0,0
395,0,0,1,0,1,0,0,0,0,0,0,0
396,0,0,1,0,1,0,0,0,0,0,0,0
397,0,0,0,0,1,0,0,0,0,0,0,0
398,0,0,0,0,1,0,1,1,0,0,0,0
399,1,1,0,0,1,0,0,0,0,0,0,0
400,1,1,0,0,1,0,0,0,0,0,0,0
401,1,1,0,0,0,0,0,0,0,0,0,0
402,1,1,0,0,0,0,0,0,0,0,0,0
403,1,1,0,0,0,0,0,0,0,0,0,0
