,San Andreas (Carrizo) rev,San Andreas (Cholame) rev,San Andreas (Mojave S),San Andreas (Coachella) rev,San Jacinto (Anza) rev,Garlock (West)
23474,0,0,0,1,10,3
23475,1,1,1,2,11,4
23476,2,2,2,3,12,5
23477,3,3,3,4,13,6
23478,4,4,4,5,0,0
23479,0,0,5,6,1,1
23480,1,1,6,7,2,2
23481,2,2,0,8,3,3
23482,3,3,1,9,4,4
23483,4,4,2,10,5,5
23484,0,5,3,11,6,6
23485,1,6,4,0,7,7
23486,2,7,5,1,8,8
23487,3,0,6,2,9,9
23488,4,1,0,3,10,10
23489,5,2,1,4,11,11
23490,0,3,2,5,12,12
23491,1,4,3,6,13,13
23492,2,5,4,7,0,14
23493,3,0,5,8,1,15
23494,4,1,6,0,2,16
23495,5,2,0,1,3,17
23496,6,3,1,2,4,18
23497,0,4,2,3,5,19
23498,1,5,3,4,6,0
23499,2,0,4,5,7,1
23500,3,1,5,0,8,2
23501,4,2,6,1,9,3
23502,0,0,0,2,10,4
23503,1,1,1,3,11,5
23504,2,2,2,4,12,6
23505,3,0,3,5,13,7
23506,4,1,4,6,0,8
23507,5,2,5,7,1,9
23508,0,0,6,8,2,10
23509,1,1,0,9,3,11
23510,2,2,1,10,4,12
23511,3,0,2,11,5,13
23512,0,1,3,0,6,14
23513,1,2,4,1,7,15
23514,2,0,5,2,8,16
23515,3,1,0,3,9,17
23516,4,2,1,4,10,18
23517,0,3,2,5,11,19
23518,1,0,3,6,12,20
23519,2,1,4,7,13,21
23520,3,2,5,8,14,0
23521,0,0,6,9,0,1
23522,0,1,7,10,1,2
23523,1,2,0,0,2,3
23524,2,0,1,1,3,4
23525,3,1,2,2,4,5
23526,0,0,3,3,5,6
23527,1,1,4,4,6,7
23528,2,2,5,5,7,8
23529,3,3,0,6,8,0
23530,4,0,1,7,9,1
23531,0,1,2,8,10,2
23532,1,2,3,9,11,3
23533,2,3,4,0,12,4
23534,3,4,5,1,0,5
23535,4,5,6,2,1,6
23536,0,0,0,3,2,7
23537,1,1,1,4,3,0
23538,2,2,2,5,4,1
23539,3,3,3,6,5,2
23540,4,4,4,7,6,3
23541,5,5,5,8,7,4
23542,0,0,0,9,8,5
23543,1,1,1,10,9,6
23544,2,2,2,0,10,7
23545,3,3,3,1,11,8
23546,4,4,4,2,12,9
23547,5,5,5,3,0,10
23548,0,0,0,4,1,11
23549,1,1,1,5,2,12
23550,2,2,2,6,3,13
23551,3,3,3,7,4,14
23552,4,4,4,8,5,15
23553,5,5,5,9,6,16
23554,6,6,6,0,7,17
23555,0,0,0,1,8,18
23556,1,1,1,2,9,19
23557,2,2,2,3,10,20
23558,3,3,3,4,11,21
23559,4,4,4,5,12,22
23560,5,5,5,6,13,23
23561,0,0,0,0,14,24
23562,1,1,1,1,0,0
23563,2,2,2,2,1,1
23564,3,3,3,3,2,2
23565,4,4,4,4,3,3
23566,5,5,5,5,4,4
23567,0,0,0,6,5,5
23568,1,1,1,0,6,6
23569,2,2,2,1,7,7
23570,3,3,3,2,8,8
23571,4,4,4,3,9,9
23572,5,5,5,4,10,10
23573,0,0,0,5,11,11
23574,1,1,1,6,12,12
23575,2,2,2,7,13,13
23576,3,3,3,8,0,14
23577,4,4,4,9,1,15
23578,5,5,5,10,2,16
23579,0,0,0,0,3,17
23580,1,1,1,1,4,18
23581,2,2,2,2,5,19
23582,3,3,3,3,6,0
23583,4,4,4,4,7,1
23584,5,5,5,5,8,2
23585,0,0,0,6,9,3
23586,1,1,1,0,10,4
23587,2,2,2,1,11,5
23588,3,3,3,2,12,6
23589,4,4,4,3,13,7
23590,5,5,0,4,0,8
23591,0,0,1,5,1,9
23592,1,1,2,6,2,10
23593,2,2,3,7,3,11
23594,3,3,4,8,4,12
23595,4,4,5,9,5,13
23596,0,0,0,0,6,0
23597,1,1,1,1,7,1
23598,2,2,2,2,8,2
23599,3,3,3,3,9,3
23600,4,4,4,4,10,4
23601,5,5,5,5,11,5
23602,0,0,0,6,12,6
23603,1,1,1,7,13,0
23604,2,2,2,8,14,1
23605,3,3,3,0,15,2
23606,4,0,4,1,0,3
23607,5,1,5,2,1,4
23608,0,2,6,3,2,5
23609,0,0,0,4,3,6
23610,1,1,1,5,4,7
23611,0,2,2,6,5,8
23612,1,3,3,7,6,9
23613,2,4,4,8,7,10
23614,3,0,5,9,8,11
23615,0,1,0,10,9,12
23616,1,2,1,0,10,13
23617,2,3,2,1,11,14
23618,3,0,3,2,12,15
23619,4,1,4,3,13,16
23620,0,2,5,4,14,17
23621,1,3,6,5,0,18
23622,2,4,0,6,1,19
23623,3,0,1,7,2,20
23624,0,1,2,8,3,21
23625,1,2,3,9,4,22
23626,2,3,4,0,5,23
23627,0,0,5,1,6,24
23628,0,0,6,2,7,0
23629,1,1,0,3,8,1
23630,2,2,1,4,9,2
23631,3,3,2,5,10,3
23632,4,4,3,6,11,4
23633,0,0,4,7,12,5
23634,1,1,5,8,13,6
23635,2,2,6,9,14,7
23636,3,3,0,10,0,8
23637,4,4,1,0,1,9
23638,5,5,2,1,2,10
23639,6,6,3,2,3,11
23640,0,0,4,3,4,12
23641,1,1,5,4,5,13
23642,2,2,6,5,6,14
23643,3,3,7,6,7,15
23644,4,4,0,7,8,16
23645,5,0,1,8,9,17
23646,0,1,2,9,10,18
23647,1,2,3,0,11,19
23648,2,3,4,1,12,20
23649,3,4,5,2,13,21
23650,4,5,6,3,14,22
23651,0,0,0,4,0,0
23652,1,1,1,5,1,1
23653,2,2,2,6,2,2
23654,3,3,3,7,3,3
23655,4,4,4,8,4,4
23656,5,5,5,0,5,5
23657,0,0,6,1,6,6
23658,1,1,7,2,7,7
23659,2,2,0,3,8,8
23660,3,3,1,4,9,9
23661,4,4,2,0,10,10
23662,5,5,3,1,0,11
23663,0,0,4,2,1,12
23664,1,1,5,3,2,13
23665,2,2,6,4,3,14
23666,3,3,0,5,4,0
23667,4,4,1,6,5,1
23668,5,5,2,7,6,2
23669,0,0,3,8,7,3
23670,1,1,4,9,8,4
23671,2,2,5,10,9,5
23672,3,3,6,0,10,6
23673,4,4,0,1,11,7
23674,5,5,1,2,0,8
23675,6,6,2,3,1,9
23676,0,0,3,4,2,10
23677,1,1,4,5,3,11
23678,2,2,0,6,4,12
23679,3,3,0,7,5,13
23680,4,4,1,8,6,14
23681,5,5,2,9,7,15
23682,0,0,3,0,8,16
23683,1,1,4,1,9,17
23684,2,2,5,2,10,18
23685,3,3,0,3,11,19
23686,4,4,1,4,12,20
23687,5,5,2,5,0,21
23688,0,0,3,6,1,22
23689,1,1,4,7,2,0
23690,2,2,5,8,3,1
23691,3,3,0,0,4,2
23692,0,4,1,1,5,3
23693,0,0,2,2,6,4
23694,1,1,3,3,7,5
23695,2,2,4,4,8,6
23696,3,3,5,5,9,7
23697,4,4,6,6,10,8
23698,0,0,0,7,11,9
23699,1,1,1,8,12,10
23700,2,2,2,9,13,11
23701,3,3,3,10,0,12
23702,4,4,4,11,1,13
23703,5,5,5,12,2,14
23704,0,0,6,0,3,15
23705,1,1,7,1,4,16
23706,2,2,0,2,5,0
23707,3,3,1,3,6,1
23708,4,4,2,4,7,2
23709,5,5,3,5,8,3
23710,0,0,4,6,9,4
23711,1,1,5,7,10,5
23712,2,2,0,0,11,6
23713,3,3,1,1,12,7
23714,0,0,2,2,13,8
23715,1,1,3,3,14,9
23716,2,2,4,4,15,10
23717,0,3,0,5,0,11
23718,1,4,1,6,1,12
23719,2,5,2,7,2,13
23720,0,0,3,8,3,14
23721,1,1,4,9,4,15
23722,2,2,5,10,5,16
23723,3,3,6,0,6,17
23724,0,0,0,1,7,18
23725,1,1,1,2,8,19
23726,2,0,2,3,9,20
23727,3,1,3,4,10,21
23728,4,2,4,5,11,22
23729,5,3,5,6,12,23
23730,0,0,0,7,13,24
23731,1,1,1,8,0,25
23732,2,2,2,9,1,26
23733,3,3,3,10,2,27
23734,4,4,4,11,3,28
23735,5,5,5,0,4,29
23736,0,0,0,1,5,30
23737,1,1,1,2,6,31
23738,2,2,2,3,7,32
23739,3,3,3,4,8,33
23740,4,4,4,5,9,34
23741,5,5,5,6,10,35
23742,0,0,6,7,11,36
23743,1,1,7,8,12,37
23744,2,2,0,0,13,38
23745,3,0,1,1,14,39
23746,0,1,2,2,0,40
23747,1,2,3,3,1,41
23748,2,3,4,4,2,42
23749,3,4,5,5,3,43
23750,4,5,0,6,4,0
23751,0,0,1,7,5,1
23752,1,1,2,8,6,2
23753,2,2,3,0,7,3
23754,3,3,4,1,8,4
23755,4,4,5,2,9,5
23756,5,5,6,3,10,6
23757,0,0,0,4,11,7
23758,1,1,1,5,12,8
23759,2,2,2,6,13,9
23760,3,3,3,7,14,10
23761,4,4,4,8,15,11
23762,5,5,5,0,16,12
23763,0,0,0,1,0,13
23764,1,1,1,2,1,14
23765,2,2,2,3,2,15
23766,3,3,3,4,3,16
23767,4,4,4,5,4,17
23768,5,5,5,6,5,18
23769,0,0,0,7,6,19
23770,1,1,1,8,7,20
23771,2,2,2,9,8,21
23772,3,3,3,0,9,22
23773,4,4,4,1,10,23
23774,5,5,5,2,11,0
23775,0,0,0,3,12,1
23776,1,1,1,4,13,2
23777,2,2,2,5,0,3
23778,3,3,3,6,1,4
23779,4,4,4,7,2,5
23780,5,5,5,8,3,6
23781,6,6,6,9,4,7
23782,0,0,0,10,5,8
23783,1,1,1,11,6,9
23784,2,2,2,0,7,10
23785,3,3,3,1,8,11
23786,4,4,4,2,9,12
23787,5,5,5,3,10,13
23788,0,0,0,4,11,14
23789,1,1,1,5,12,15
23790,2,2,2,6,13,16
23791,3,3,3,7,14,17
23792,4,4,4,8,0,18
23793,5,5,5,9,1,19
23794,0,0,0,10,2,0
23795,1,1,1,0,3,1
23796,2,2,2,1,4,2
23797,3,3,3,2,5,3
23798,4,4,4,3,6,4
23799,5,5,5,4,7,5
23800,0,0,6,5,8,6
23801,1,1,7,6,9,7
23802,2,2,0,7,10,8
23803,3,3,1,0,11,9
23804,0,0,2,1,12,10
23805,1,1,3,2,13,11
23806,2,2,4,3,0,12
23807,3,3,5,4,1,13
23808,4,4,6,5,2,14
23809,0,0,0,6,3,15
23810,1,1,1,7,4,16
23811,2,2,2,8,5,17
23812,3,3,3,0,6,18
23813,4,4,4,1,7,19
23814,5,5,5,2,8,0
23815,0,0,6,3,9,1
23816,1,1,0,4,10,2
23817,2,2,1,5,11,3
23818,3,3,2,6,12,4
23819,4,4,3,7,0,5
23820,5,5,4,8,1,6
23821,6,6,5,9,2,7
23822,0,0,6,0,3,8
23823,1,1,0,1,4,9
23824,2,2,1,2,5,10
23825,3,3,2,3,6,11
23826,4,4,3,4,7,12
23827,5,5,4,5,8,13
23828,0,0,5,6,9,14
23829,1,1,6,7,10,15
23830,2,2,7,8,11,16
23831,3,3,0,9,12,0
23832,4,4,1,10,0,1
23833,5,5,2,11,1,2
23834,0,0,3,0,2,3
23835,1,1,4,1,3,4
23836,2,2,5,2,4,5
23837,3,3,6,3,5,6
23838,4,4,0,4,6,7
23839,5,5,1,5,7,8
23840,6,6,2,6,8,9
23841,0,0,3,7,9,10
23842,1,1,4,8,10,11
23843,2,2,5,9,11,12
23844,3,3,6,0,12,13
23845,4,4,0,1,13,14
23846,0,0,1,2,14,15
23847,1,1,2,3,0,16
23848,2,2,3,4,1,17
23849,3,3,4,5,2,18
23850,4,4,5,6,3,19
23851,5,5,6,7,4,20
23852,6,6,0,8,5,21
23853,0,0,1,0,6,22
23854,1,1,2,1,7,23
23855,2,2,3,2,8,24
23856,3,3,4,3,9,25
23857,4,4,5,4,10,26
23858,0,0,0,5,11,27
23859,1,1,1,6,12,0
23860,2,2,2,7,0,1
23861,3,3,3,8,1,2
23862,4,4,4,0,2,3
23863,5,5,5,1,3,4
23864,0,0,0,2,4,5
23865,1,1,1,3,5,6
23866,2,2,2,4,6,7
23867,3,3,3,5,7,8
23868,4,4,4,6,8,0
23869,0,0,5,7,9,1
23870,1,1,0,0,10,2
23871,2,2,1,1,11,3
23872,3,3,2,2,12,4
23873,4,4,3,3,13,5
23874,0,0,0,4,14,6
23875,1,1,1,5,0,7
23876,2,2,2,6,1,8
23877,3,3,0,7,2,9
23878,4,4,1,8,3,10
23879,5,5,2,0,4,0
23880,0,0,0,1,5,1
23881,1,1,1,2,6,2
23882,2,2,2,3,7,3
23883,3,3,3,4,8,4
23884,4,4,0,5,9,5
23885,5,5,1,6,10,6
23886,0,0,2,7,11,7
23887,1,1,3,8,12,8
23888,2,2,4,9,0,9
23889,3,3,5,10,1,10
23890,4,4,6,0,2,11
23891,5,5,0,1,3,12
23892,0,0,1,2,4,13
23893,1,1,2,3,5,14
23894,2,2,3,4,6,15
23895,3,3,4,5,7,16
23896,4,4,5,6,8,17
23897,5,5,6,7,9,18
23898,0,0,0,8,10,19
23899,1,1,1,9,11,20
23900,2,2,2,10,12,21
23901,3,3,3,11,13,22
23902,4,4,4,0,0,23
23903,5,5,5,1,1,24
23904,0,0,0,2,2,25
23905,1,1,1,3,3,26
23906,2,2,2,4,4,27
23907,3,3,3,5,5,0
23908,4,4,4,6,6,1
23909,5,5,5,7,7,2
23910,0,0,0,8,8,3
23911,1,1,1,9,9,4
23912,2,2,2,10,10,5
23913,3,3,3,0,11,6
23914,4,4,4,1,0,7
23915,5,5,5,2,1,8
23916,0,0,0,3,2,9
23917,1,1,1,4,3,10
23918,2,2,2,5,4,11
23919,3,3,3,6,5,12
23920,4,4,4,7,6,13
23921,5,5,5,8,7,14
23922,0,0,0,9,8,15
23923,1,1,1,10,9,16
23924,2,2,2,0,10,17
23925,3,3,3,1,11,18
23926,4,4,4,2,12,19
23927,5,5,5,3,13,20
23928,0,0,0,4,0,21
23929,1,1,1,5,1,22
23930,2,2,2,6,2,0
23931,3,3,3,7,3,1
23932,4,4,4,8,4,2
23933,5,5,5,9,5,3
23934,0,0,0,10,6,4
23935,1,1,1,0,7,5
23936,2,2,2,1,8,6
23937,3,3,3,2,9,7
23938,4,4,4,3,10,8
23939,5,5,5,4,11,9
23940,0,0,0,5,12,10
23941,1,1,1,6,13,11
23942,2,2,2,7,0,12
23943,3,3,3,8,1,13
23944,4,4,4,9,2,14
23945,5,5,5,0,3,15
23946,0,0,0,1,4,0
23947,1,1,1,2,5,1
23948,2,2,2,3,6,2
23949,3,3,3,4,7,3
23950,4,4,4,5,8,4
23951,5,5,5,6,9,5
23952,6,6,6,7,10,6
23953,0,0,0,8,11,7
23954,1,1,1,9,12,8
23955,2,2,2,10,13,9
23956,3,3,3,11,0,10
23957,4,4,4,0,1,11
23958,0,0,5,1,2,12
23959,1,1,6,2,3,13
23960,2,2,0,3,4,14
23961,3,3,1,4,5,15
23962,4,4,2,5,6,16
23963,5,5,3,6,7,0
23964,0,0,4,7,8,1
23965,1,1,5,8,9,2
23966,2,2,6,9,10,3
23967,3,3,0,0,11,4
23968,4,4,1,1,12,5
23969,5,5,2,2,13,6
23970,0,0,3,3,14,7
23971,1,1,4,4,15,8
23972,2,2,5,5,0,9
23973,3,3,6,6,1,10
23974,4,4,0,7,2,11
23975,0,0,1,8,3,12
23976,1,1,2,9,4,13
23977,2,2,3,0,5,14
23978,3,3,4,1,6,15
23979,4,4,5,2,7,16
23980,5,5,6,3,8,17
23981,0,0,0,4,9,0
23982,1,1,1,5,10,1
23983,2,2,2,6,11,2
23984,3,3,3,7,12,3
23985,4,4,4,8,0,4
23986,0,0,0,9,1,5
23987,1,1,1,0,2,6
23988,2,2,2,1,3,7
23989,3,3,3,2,4,8
23990,4,4,4,3,5,9
23991,5,5,5,4,6,10
23992,6,6,6,5,7,11
23993,0,0,0,6,8,12
23994,1,1,1,7,9,13
23995,2,2,2,8,10,14
23996,3,3,3,9,11,15
23997,4,4,4,10,12,16
23998,5,5,5,0,13,17
23999,0,0,0,1,14,18
24000,1,1,1,2,15,19
24001,2,2,2,3,0,20
24002,3,3,3,4,1,21
24003,4,4,4,5,2,22
24004,5,5,5,6,3,23
24005,0,0,0,7,4,24
24006,1,1,1,8,5,25
24007,2,2,2,9,6,26
24008,3,3,3,10,7,27
24009,4,4,4,0,8,28
24010,5,5,5,1,9,29
24011,6,6,6,2,10,30
24012,0,0,0,3,11,31
24013,1,1,1,4,12,32
24014,2,2,2,5,0,33
24015,3,3,3,6,1,34
24016,4,4,4,7,2,35
24017,5,5,5,8,3,36
24018,0,0,0,9,4,37
24019,1,1,1,0,5,38
24020,2,2,2,1,6,0
24021,3,3,3,2,7,1
24022,4,4,4,3,8,2
24023,5,5,5,4,9,3
24024,6,6,6,5,10,4
24025,0,0,0,6,11,5
24026,1,1,1,7,12,6
24027,2,2,2,8,13,7
24028,3,3,3,9,0,8
24029,4,4,4,10,1,9
24030,5,5,5,0,2,10
24031,0,0,0,1,3,11
24032,1,1,1,2,4,12
24033,2,2,2,3,5,13
24034,3,3,3,4,6,14
24035,4,4,4,5,7,15
24036,5,5,5,6,8,16
24037,0,0,6,7,9,17
24038,1,1,0,0,10,18
24039,2,2,1,1,11,19
24040,3,3,2,2,12,0
24041,4,4,3,3,13,1
24042,5,5,4,4,0,2
24043,0,0,5,5,1,3
24044,1,1,0,6,2,4
24045,2,2,1,0,3,5
24046,3,3,2,1,4,6
24047,4,4,3,2,5,7
24048,5,5,4,3,6,8
24049,0,0,5,4,7,9
24050,1,1,6,5,8,10
24051,2,2,0,6,9,11
24052,3,3,1,7,10,12
24053,4,4,2,8,11,13
24054,0,0,3,9,12,14
24055,1,1,4,0,13,15
24056,2,2,5,1,0,16
24057,3,3,0,2,1,0
24058,4,4,1,3,2,1
24059,5,5,2,4,3,2
24060,0,0,3,5,4,3
24061,1,1,4,6,5,4
24062,2,2,5,7,6,5
24063,3,3,6,8,7,6
24064,4,4,0,9,8,7
24065,5,5,1,10,9,8
24066,6,6,2,11,10,9
24067,0,0,3,0,11,10
24068,1,1,4,1,12,11
24069,2,2,5,2,13,12
24070,3,3,0,3,14,13
24071,4,4,1,4,0,14
24072,5,5,2,5,1,15
24073,0,0,3,6,2,16
24074,1,1,4,7,3,17
24075,2,2,5,8,4,18
24076,3,3,6,9,5,19
24077,4,4,0,10,6,20
24078,5,5,1,0,7,21
24079,6,6,2,1,8,22
24080,0,0,3,2,9,23
24081,1,1,4,3,10,24
24082,2,2,5,4,11,25
24083,3,3,6,5,12,26
24084,4,4,0,6,13,27
24085,5,5,1,7,0,28
24086,0,0,2,8,1,29
24087,1,1,3,9,2,30
24088,2,2,4,10,3,31
24089,3,3,5,11,4,32
24090,4,4,0,0,5,33
24091,5,5,1,1,6,34
24092,0,0,2,2,7,35
24093,1,1,3,3,8,36
24094,2,2,4,4,9,37
24095,3,3,5,5,10,38
24096,4,4,6,6,11,39
24097,5,5,7,7,12,40
24098,0,0,0,8,13,41
24099,1,1,1,9,0,42
24100,2,2,2,10,1,0
24101,3,3,3,0,2,1
24102,4,4,4,1,3,2
24103,5,5,5,2,4,3
24104,0,0,0,3,5,4
24105,1,1,1,4,6,5
24106,2,2,2,5,7,6
24107,3,3,3,6,8,7
24108,4,4,4,7,9,8
24109,5,5,5,8,10,9
24110,0,0,6,0,11,10
24111,1,1,7,1,12,11
24112,2,2,0,2,13,12
24113,3,3,1,3,14,13
24114,4,4,2,4,0,14
24115,5,5,3,5,1,15
24116,6,6,4,6,2,16
24117,0,0,5,7,3,17
24118,1,1,6,8,4,18
24119,2,2,0,9,5,19
24120,3,3,1,10,6,20
24121,4,4,2,0,7,21
24122,0,0,3,1,8,22
24123,1,1,4,2,9,23
24124,2,2,5,3,10,24
24125,3,3,6,4,11,25
24126,4,4,0,5,12,26
24127,5,5,1,6,13,27
24128,0,0,2,7,0,28
24129,1,1,3,8,1,29
24130,2,2,4,9,2,30
24131,3,3,5,10,3,31
24132,4,4,6,0,4,32
24133,5,5,0,1,5,33
24134,0,0,1,2,6,34
24135,1,1,2,3,7,35
24136,2,2,3,4,8,36
24137,3,3,4,5,9,37
24138,4,4,5,6,10,38
24139,5,5,6,7,11,39
24140,0,0,0,8,12,40
24141,1,1,1,0,13,41
24142,2,2,2,1,14,42
24143,3,3,3,2,0,43
24144,4,4,4,3,1,44
24145,5,5,5,4,2,45
24146,0,0,0,5,3,0
24147,1,1,1,6,4,1
24148,2,2,2,7,5,2
24149,3,3,3,8,6,3
24150,4,4,4,9,7,4
24151,5,5,5,10,8,5
24152,6,6,6,11,9,6
24153,0,0,0,0,10,7
24154,1,1,1,1,11,8
24155,2,2,2,2,12,9
24156,3,3,3,3,13,10
24157,4,4,4,4,0,11
24158,5,5,5,5,1,12
24159,0,0,0,6,2,13
24160,1,1,1,7,3,14
24161,2,2,2,8,4,15
24162,3,3,3,9,5,16
24163,4,4,4,10,6,17
24164,0,0,5,11,7,18
24165,1,1,6,0,8,19
24166,2,2,0,1,9,20
24167,3,3,1,2,10,21
24168,4,4,2,3,11,22
24169,5,5,3,4,12,23
24170,0,0,4,5,0,24
24171,1,1,5,6,1,25
24172,2,2,6,7,2,26
24173,3,3,7,8,3,27
24174,4,4,0,9,4,28
24175,5,5,1,10,5,29
24176,0,0,2,0,6,30
24177,1,1,3,1,7,31
24178,2,2,4,2,8,32
24179,3,3,5,3,9,33
24180,4,4,6,4,10,34
24181,0,0,0,5,11,35
24182,1,1,1,6,12,36
24183,2,2,2,7,13,0
24184,3,3,3,8,14,1
24185,4,4,4,9,0,2
24186,5,5,5,10,1,3
24187,0,0,6,11,2,4
24188,1,1,7,0,3,5
24189,2,2,0,1,4,6
24190,3,3,1,2,5,7
24191,4,4,2,3,6,8
24192,5,5,3,4,7,9
24193,0,0,4,5,8,10
24194,1,1,5,6,9,11
24195,2,2,6,7,10,12
24196,3,3,0,8,11,13
24197,4,4,1,9,12,14
24198,5,5,2,10,0,15
24199,0,0,3,0,1,16
24200,1,1,4,1,2,17
24201,2,2,5,2,3,18
24202,3,3,6,3,4,19
24203,4,4,7,4,5,20
24204,0,0,0,5,6,21
24205,1,1,1,6,7,22
24206,2,2,2,7,8,23
24207,3,3,3,8,9,24
24208,0,4,4,9,10,25
24209,1,5,5,10,11,26
24210,2,6,6,0,12,27
24211,0,0,0,1,13,28
24212,1,1,1,2,14,29
24213,2,2,2,3,0,0
24214,0,3,3,4,1,1
24215,1,4,4,5,2,2
24216,0,0,5,6,3,3
24217,1,1,0,7,4,4
24218,2,2,1,8,5,5
24219,3,3,2,0,6,6
24220,4,4,3,1,7,7
24221,0,0,4,2,8,8
24222,1,1,5,3,9,9
24223,2,0,6,4,10,10
24224,3,1,7,5,11,11
24225,4,2,0,6,12,0
24226,0,0,1,7,0,1
24227,1,1,2,8,1,2
24228,2,2,3,9,2,3
24229,3,3,4,10,3,4
24230,4,0,5,11,4,5
24231,0,1,6,12,5,6
24232,0,2,0,0,6,7
24233,1,3,1,1,7,8
24234,2,4,2,2,8,9
24235,3,5,3,3,9,0
24236,0,0,4,4,10,1
24237,1,1,5,5,11,2
24238,0,2,0,6,12,3
24239,1,3,1,7,13,4
24240,2,4,2,8,14,5
24241,0,0,3,0,0,6
24242,1,1,4,1,1,7
24243,2,2,5,2,2,8
24244,3,3,6,3,3,9
24245,0,4,0,4,4,10
24246,1,5,1,5,5,11
24247,2,6,2,6,6,12
24248,3,0,3,7,7,13
24249,4,1,4,8,8,14
24250,0,2,5,9,9,15
24251,1,3,0,0,10,16
24252,2,4,1,1,11,17
24253,3,5,2,2,12,18
24254,4,6,3,3,13,19
24255,0,0,4,4,14,20
24256,1,1,0,5,0,0
24257,2,2,1,6,1,1
24258,3,3,2,7,2,2
24259,4,4,3,8,3,3
24260,5,5,4,9,4,4
24261,0,0,5,0,5,5
24262,1,1,6,1,6,6
24263,2,2,0,2,7,7
24264,3,3,1,3,8,8
24265,4,4,2,4,9,9
24266,0,0,3,5,10,10
24267,1,1,4,6,11,11
24268,2,2,5,7,12,12
24269,3,3,0,8,13,13
24270,4,4,1,0,14,14
24271,5,5,2,1,0,15
24272,0,0,3,2,1,16
24273,1,1,4,3,2,17
24274,2,2,5,4,3,18
24275,3,3,6,5,4,19
24276,4,4,7,6,5,20
24277,5,5,0,7,6,21
24278,0,0,1,8,7,22
24279,1,1,2,0,8,0
24280,2,2,3,1,9,1
24281,3,3,4,2,10,2
24282,4,4,5,3,11,3
24283,5,5,6,4,12,4
24284,0,0,0,5,13,5
24285,1,1,1,6,14,6
24286,2,2,2,7,15,7
24287,3,3,3,8,0,8
24288,0,4,4,9,1,9
24289,0,0,5,10,2,10
24290,1,1,6,11,3,11
24291,2,2,7,0,4,12
24292,3,3,0,1,5,13
24293,0,4,1,2,6,14
24294,1,0,2,3,7,15
24295,2,1,3,4,8,16
24296,3,2,4,5,9,17
24297,4,3,5,6,10,18
24298,0,0,0,7,11,0
24299,1,1,1,8,12,1
24300,2,2,2,9,0,2
24301,3,3,3,10,1,3
24302,4,4,4,0,2,4
24303,5,5,5,1,3,5
24304,0,0,6,2,4,6
24305,1,1,0,3,5,7
24306,2,2,1,4,6,8
24307,3,0,2,5,7,9
24308,4,1,3,6,8,10
24309,5,2,4,7,9,11
24310,0,0,5,8,10,12
24311,1,1,6,9,11,13
24312,2,2,0,10,0,14
24313,3,3,1,0,1,15
24314,0,0,2,1,2,16
24315,1,1,3,2,3,17
24316,0,2,4,3,4,18
24317,1,0,5,4,5,19
24318,2,1,6,5,6,20
24319,3,2,0,6,7,21
24320,0,0,1,7,8,22
24321,1,1,2,0,9,23
24322,2,2,3,1,10,24
24323,3,3,4,2,11,25
24324,4,0,5,3,0,26
24325,0,0,6,4,1,27
24326,1,1,0,5,2,28
24327,2,2,1,6,3,29
24328,0,3,2,7,4,30
24329,1,4,3,8,5,31
24330,0,0,4,9,6,32
24331,1,1,5,10,7,33
24332,2,2,6,0,8,34
24333,0,3,0,1,9,35
24334,1,4,1,2,10,36
24335,2,5,2,3,11,37
24336,3,0,3,4,12,38
24337,4,1,4,5,13,39
24338,5,2,5,6,0,40
24339,6,3,0,7,1,41
24340,0,4,1,8,2,42
24341,1,5,2,9,3,43
24342,2,0,3,0,4,0
24343,3,1,4,1,5,1
24344,4,2,5,2,6,2
24345,0,3,0,3,7,3
24346,1,4,1,4,8,4
24347,2,5,2,5,9,5
24348,3,6,3,6,10,6
24349,0,0,4,7,11,7
24350,1,1,5,8,12,8
24351,2,2,6,9,13,9
24352,0,3,0,10,14,10
24353,1,4,1,11,0,11
24354,2,5,2,0,1,12
24355,3,0,3,1,2,13
24356,4,1,4,2,3,14
24357,0,2,5,3,4,15
24358,1,3,0,4,5,16
24359,2,4,1,5,6,17
24360,3,5,2,6,7,18
24361,4,0,3,7,8,19
24362,5,1,4,8,9,20
24363,0,2,5,9,10,21
24364,1,3,6,10,11,22
24365,2,4,0,0,12,23
24366,3,5,1,1,13,0
24367,0,0,2,2,0,1
24368,1,1,3,3,1,2
24369,0,2,4,4,2,3
24370,1,3,5,5,3,4
24371,2,4,6,6,4,5
24372,3,5,7,7,5,6
24373,4,6,0,8,6,7
24374,0,0,1,9,7,8
24375,1,1,2,10,8,9
24376,0,2,3,0,9,10
24377,1,3,4,1,10,11
24378,2,4,5,2,11,12
24379,0,0,0,3,12,13
24380,1,1,1,4,0,14
24381,2,2,2,5,1,15
24382,3,3,3,6,2,16
24383,4,4,4,7,3,17
24384,5,5,5,8,4,18
24385,6,6,6,9,5,0
24386,0,0,0,0,6,1
24387,1,1,1,1,7,2
24388,2,2,2,2,8,3
24389,3,3,3,3,9,4
24390,4,4,4,4,10,5
24391,5,5,5,5,0,6
24392,6,6,6,6,1,7
24393,0,0,0,7,2,8
24394,1,1,1,8,3,9
24395,2,2,2,9,4,10
24396,3,3,3,0,5,11
24397,4,4,4,1,6,12
24398,5,5,5,2,7,13
24399,0,0,0,3,8,14
24400,1,1,1,4,9,15
24401,2,2,2,5,10,16
