,San Andreas (Carrizo) rev,San Andreas (Cholame) rev,San Andreas (Mojave S),San Andreas (Coachella) rev,San Jacinto (Anza) rev,Garlock (West)
519,6,6,6,2,4,9
520,0,0,0,3,5,10
521,1,1,1,4,6,11
522,2,2,2,5,7,12
523,3,3,3,0,8,13
524,4,4,4,1,9,14
525,0,0,5,2,10,15
526,1,1,6,3,11,16
527,2,2,0,4,12,17
528,3,3,1,5,13,18
529,4,4,2,0,14,19
530,0,0,3,1,15,20
531,1,1,4,2,0,21
532,2,2,5,3,1,22
533,3,3,0,4,2,23
534,4,4,1,5,3,24
535,5,5,2,6,4,25
536,0,0,3,7,5,26
537,1,1,4,8,6,0
538,2,2,5,0,7,1
539,0,3,0,1,8,2
540,0,0,1,2,9,3
541,1,1,2,3,10,4
542,2,2,3,4,11,5
543,3,3,4,5,12,6
544,4,4,5,6,13,7
545,5,5,6,7,0,8
546,0,6,0,8,1,9
547,1,0,1,9,2,10
548,2,1,2,0,3,11
549,3,2,3,1,4,12
550,0,3,4,2,5,13
551,1,4,5,3,6,14
552,2,5,0,4,7,15
553,3,0,1,5,8,16
554,4,1,2,6,9,17
555,0,2,3,7,10,18
556,1,3,4,8,11,19
557,2,4,5,0,12,20
558,3,5,6,1,13,0
559,4,6,0,2,14,1
560,0,0,1,3,0,2
561,1,1,2,4,1,3
562,2,2,3,5,2,4
563,3,3,4,6,3,5
564,4,4,5,7,4,6
565,5,5,0,8,5,7
566,0,0,1,9,6,8
567,1,1,2,0,7,0
568,2,2,3,1,8,1
569,3,3,4,2,9,2
570,4,4,5,3,10,3
571,5,5,6,4,11,4
572,0,0,0,5,12,5
573,1,1,1,6,13,6
574,2,2,2,7,0,7
575,3,3,3,8,1,8
576,4,4,4,9,2,0
577,5,5,5,10,3,1
578,0,0,0,0,4,2
579,1,1,1,1,5,3
580,2,2,2,2,6,4
581,3,3,3,3,7,5
582,4,4,4,4,8,6
583,5,5,5,0,9,7
584,0,0,0,1,10,8
585,1,1,1,2,11,9
586,2,2,2,3,12,10
587,3,3,3,4,13,11
588,4,4,4,0,14,12
589,5,5,5,1,0,13
590,0,0,6,2,1,14
591,1,1,0,3,2,15
592,2,2,1,4,3,16
593,3,3,2,5,4,17
594,4,4,3,6,5,18
595,0,0,4,7,6,0
596,1,1,5,8,7,1
597,2,2,6,9,8,2
598,3,3,0,10,9,3
599,4,4,1,11,10,4
600,5,5,2,0,11,5
601,6,6,3,1,12,6
602,0,0,0,2,13,7
603,1,1,1,3,14,8
604,2,2,0,4,0,9
605,3,3,1,5,1,10
606,4,4,2,6,2,11
607,0,0,0,7,3,12
608,1,1,1,8,4,13
609,2,2,0,9,5,14
610,3,3,1,10,6,15
611,4,4,2,0,7,16
612,5,5,3,1,8,17
613,0,0,0,2,9,18
614,1,1,1,3,10,19
615,2,2,2,4,11,20
616,3,3,3,5,12,21
617,4,4,4,6,13,22
618,5,5,5,7,0,23
619,0,0,0,8,1,24
620,1,1,1,9,2,25
621,2,2,2,0,3,26
622,3,3,3,1,4,27
623,4,4,4,2,5,28
624,5,5,5,3,6,29
625,0,0,0,4,7,30
626,1,1,1,5,8,31
627,2,2,2,6,9,32
628,3,3,3,7,10,0
629,4,4,4,8,11,1
630,5,5,5,9,12,2
631,6,6,6,0,13,3
632,0,0,0,1,14,4
633,1,1,1,2,0,5
634,2,2,2,3,1,6
635,3,3,3,4,2,7
636,4,4,4,5,3,8
637,5,5,5,6,4,9
638,0,0,0,7,5,10
639,1,1,1,8,6,11
640,2,2,2,9,7,12
641,3,3,3,10,8,13
642,4,4,4,11,9,14
643,0,0,0,0,10,15
644,1,1,1,1,11,16
645,2,2,2,2,12,17
646,3,3,3,3,13,18
647,4,4,4,4,0,19
648,5,5,5,5,1,0
649,0,0,6,6,2,1
650,1,1,0,7,3,2
651,2,2,1,8,4,3
652,3,3,2,9,5,4
653,4,4,3,10,6,5
654,5,5,4,0,7,6
655,0,0,0,1,8,7
656,1,1,1,2,9,8
657,2,2,2,3,10,9
658,3,3,3,4,11,10
659,4,4,4,5,12,11
660,5,5,5,6,13,12
661,0,0,0,7,14,0
662,1,1,1,8,0,1
663,2,2,2,9,1,2
664,3,3,3,10,2,3
665,4,4,4,0,3,4
666,5,5,5,1,4,0
667,0,0,0,2,5,1
668,1,1,1,3,6,2
669,2,2,2,4,7,3
670,3,3,3,5,8,4
671,4,4,4,6,9,5
672,5,5,5,7,10,6
