,San Andreas (Carrizo) rev,San Andreas (Cholame) rev,San Andreas (Mojave S),San Andreas (Coachella) rev,San Jacinto (Anza) rev,Garlock (West),0
695,1,1,0,0,1,0,1
696,1,1,1,0,1,1,1
697,2,1,1,1,0,0,0
698,0,0,1,1,0,0,1
699,1,1,0,0,0,0,0
700,1,1,0,1,0,0,0
701,1,1,1,0,1,0,0
702,1,1,1,0,0,0,0
703,1,1,1,1,1,0,0
704,0,0,1,0,1,0,0
705,1,1,1,1,1,0,0
706,1,1,0,0,1,1,0
707,1,1,1,1,0,0,0
708,1,1,1,0,1,0,0
709,1,1,0,1,0,0,0
710,0,0,0,0,0,0,1
711,0,0,1,0,0,0,0
712,1,1,0,0,1,0,0
713,0,0,0,0,0,1,1
714,1,0,0,0,0,0,0
715,2,1,1,1,0,0,0
716,0,0,1,1,0,0,0
717,0,0,0,1,0,0,0
718,1,1,1,0,0,0,0
719,1,1,1,0,1,0,0
720,0,0,0,0,0,0,0
721,0,0,1,0,0,0,0
722,1,1,1,0,0,1,0
723,1,1,1,1,0,0,0
724,1,1,1,1,1,0,0
725,0,0,1,0,0,0,1
726,1,0,1,1,0,0,1
727,1,1,1,0,0,0,0
728,0,0,1,0,0,1,1
729,1,1,1,0,0,0,1
730,1,1,0,0,0,0,0
731,1,0,0,0,1,0,0
732,1,1,1,0,0,0,0
733,1,1,0,1,0,1,0
734,0,0,0,0,0,0,0
735,0,0,1,0,0,0,0
736,1,1,0,0,0,0,0
737,1,1,1,1,0,0,0
738,0,0,0,0,0,0,1
739,0,0,0,0,0,0,1
740,1,1,1,0,1,0,1
741,0,0,1,0,0,0,0
742,1,1,0,0,0,1,0
743,0,0,1,0,1,0,0
744,0,0,0,1,0,0,0
745,1,1,1,0,0,1,0
746,0,0,1,0,0,0,0
747,1,1,0,0,0,0,1
748,1,1,0,1,0,0,1
749,1,1,1,0,0,0,0
750,0,0,0,1,0,0,0
751,0,0,0,0,1,0,0
752,1,0,0,0,0,0,1
753,1,1,1,0,0,0,1
754,1,1,1,1,0,0,0
755,0,0,0,1,0,0,1
756,1,1,1,0,0,1,0
757,1,1,0,0,0,0,0
758,0,0,0,1,0,1,1
759,0,0,0,0,0,0,1
760,1,1,1,0,0,0,0
761,1,1,0,0,0,0,1
762,0,0,0,0,0,0,1
763,1,1,0,1,1,0,0
764,1,1,0,1,0,0,1
765,0,0,0,1,1,1,1
766,0,0,1,0,0,1,1
767,0,0,1,0,0,0,0
768,1,0,0,1,0,0,1
769,0,0,0,1,1,0,1
770,0,0,0,0,1,0,0
771,0,0,0,0,1,0,1
772,0,0,1,0,0,0,0
773,2,1,0,0,0,0,0
774,1,1,1,0,1,0,0
775,0,0,1,1,0,1,0
776,0,1,0,0,1,0,0
777,0,1,0,0,0,1,0
778,0,0,0,1,0,1,0
779,1,1,1,0,0,0,0
780,1,1,0,1,1,0,0
781,0,0,1,0,0,0,1
782,1,1,1,0,1,0,1
783,1,1,0,0,0,0,0
784,0,0,0,0,1,1,1
785,1,1,1,0,0,0,0
786,0,0,0,0,0,0,1
787,1,1,0,1,0,0,0
788,1,1,0,1,1,0,1
789,1,1,1,0,0,0,0
790,1,1,1,0,1,0,0
791,1,1,0,0,0,1,0
792,2,1,1,1,0,0,0
793,1,1,1,0,0,0,0
794,1,1,1,0,0,1,0
795,0,0,0,0,0,0,0
796,1,1,0,1,0,0,1
797,0,0,1,1,0,0,1
798,1,1,1,0,0,0,0
799,1,1,1,0,0,1,0
800,1,1,1,1,0,0,0
801,1,1,0,0,0,0,1
802,1,1,1,1,0,0,1
803,1,1,1,0,0,0,0
804,1,1,0,0,0,0,0
805,0,0,0,1,0,0,0
806,0,0,1,0,0,0,1
807,1,1,1,0,1,0,0
808,1,1,0,0,1,0,0
809,1,1,1,1,0,1,0
810,0,0,0,0,0,0,1
811,1,1,1,0,0,0,1
812,1,1,0,1,0,0,0
813,0,0,0,0,0,0,0
814,1,1,1,0,1,0,0
815,0,0,1,0,0,0,1
816,0,0,1,1,0,0,1
817,1,1,0,0,0,0,0
818,1,1,1,0,0,0,1
819,1,1,0,0,0,0,0
820,1,1,0,0,0,1,0
821,1,1,0,1,0,0,1
822,0,0,0,0,0,0,1
823,0,0,0,1,0,0,0
824,1,1,1,0,0,0,1
825,1,1,1,0,1,0,0
826,1,1,1,1,0,0,0
827,0,0,1,0,0,0,1
828,0,0,0,1,1,0,0
829,1,1,1,0,1,0,1
830,0,0,0,0,0,0,1
831,0,0,1,1,0,1,0
832,0,0,0,0,1,0,0
833,0,1,0,0,1,0,1
834,1,1,1,0,0,0,1
835,0,0,0,0,0,0,1
836,1,1,0,1,0,0,0
837,1,1,1,0,0,0,1
838,0,0,0,0,0,0,1
839,1,1,0,0,0,0,0
840,1,1,0,1,0,0,1
841,1,1,1,0,0,0,0
842,1,1,1,0,1,0,0
843,1,1,1,0,0,0,0
844,0,0,0,1,0,0,1
845,1,1,1,0,0,0,0
846,0,0,0,0,1,0,1
847,0,0,1,1,0,1,1
848,0,0,1,1,0,0,0
849,1,1,1,0,0,0,1
